Otolith radius,59_,80_,81_,82_,83_,84_,85_,86_,87_,89_,90_,91_,92_,93_,94_,95_,96_,97_,98_,99_,100_,101_,102_,103_,104_,105_,106_,107_,108_,109_,110_,111_,112_,113_,114_,115_,116_,117_,118_,119_,120_,121_,122_,123_,142_,178_,181_,182_,183_,184_,185_,187_,188_,189_,190_,192_,194_
263.899942,0.053090823,0.03984565,0.041150658,0.031189376,0.034250977,0.048659151,0.033827855,0.03450632,0.0327522,0.018279878,0.017623629,0.016313641,0.017431685,0.016285459,0.025463585,0.023414018,0.026886794,0.027081727,0.023033355,0.021037539,0.013895566,0.021223416,0.030582863,0.02197025,0.027630572,0.03612649,0.050282406,0.057796717,0.042697428,0.034018833,0.038888635,0.026192179,0.036038834,0.042904041,0.033404389,0.027896937,0.074668894,0.061541112,0.044135314,0.030759017,0.038404082,0.051085805,0.039344221,0.038089963,0.049567403,0.070549908,0.063343304,0.062129432,0.069415347,0.085969606,0.083697904,0.092446622,0.092771109,0.024328759,0.024875666,0.084406779,0.114663798
266.1749415,0.04982262,0.041058479,0.041498495,0.031308555,0.033896867,0.047528639,0.032674878,0.035506092,0.032594558,0.018206709,0.01779724,0.016314374,0.017325175,0.016100421,0.025497654,0.023304511,0.027879803,0.027201597,0.023806552,0.021116661,0.013829085,0.021580227,0.030743448,0.021868819,0.027817181,0.034509099,0.046581645,0.053142249,0.04354991,0.033618826,0.038536537,0.025814355,0.035506846,0.043469045,0.032737507,0.02694252,0.071924891,0.064021139,0.043185081,0.031187055,0.038430644,0.051798625,0.037666033,0.037469076,0.050049781,0.070346048,0.063660732,0.062285729,0.068344195,0.08710288,0.083697904,0.091762092,0.094279053,0.026411888,0.025374083,0.084732352,0.115626356
268.449941,0.046246182,0.042587447,0.041677811,0.031803443,0.033498231,0.046847729,0.03157295,0.036086815,0.032293981,0.018140948,0.017781916,0.016025186,0.017164897,0.016008864,0.025315984,0.022187674,0.028624042,0.027630073,0.024546275,0.021060113,0.013651433,0.021428284,0.030110891,0.02081508,0.028351465,0.032384674,0.043867051,0.049001497,0.044076276,0.032723071,0.038046977,0.025704814,0.035037344,0.043379309,0.0321581,0.026093617,0.068456051,0.066178091,0.043076766,0.031332413,0.038714179,0.052387424,0.036034475,0.037527044,0.049638466,0.071018076,0.065061488,0.063566072,0.067297315,0.089085841,0.085660692,0.091815409,0.095669865,0.027980895,0.025797804,0.084868192,0.120288551
270.7249405,0.042958382,0.044943788,0.04169149,0.032435664,0.033206489,0.047205885,0.030788534,0.03615655,0.031491605,0.018270853,0.017673371,0.015738942,0.016975176,0.015930011,0.025092124,0.02110855,0.029251947,0.027864661,0.025226776,0.020827811,0.013537952,0.021241034,0.029532335,0.019918799,0.029466144,0.030489112,0.041471936,0.045293861,0.044680516,0.031993155,0.0374261,0.025431726,0.034680258,0.042451562,0.031688705,0.02573692,0.067967872,0.068438672,0.04399712,0.031331679,0.03857958,0.052064107,0.035228464,0.037197583,0.048266099,0.072564922,0.066891644,0.064899399,0.066653871,0.090297371,0.102755821,0.09292103,0.09896382,0.028209026,0.026054471,0.084313398,0.125689152
272.99994,0.04070501,0.047426729,0.041751981,0.03323378,0.033036351,0.048140367,0.030672745,0.036048126,0.031002701,0.018551566,0.017614684,0.015462469,0.01674979,0.015672326,0.024792671,0.021148528,0.02918166,0.028604571,0.02527606,0.020319795,0.013414917,0.021095059,0.029945769,0.020040434,0.030513824,0.029094282,0.040421622,0.042850061,0.045639637,0.031108059,0.036526913,0.02540524,0.034533954,0.041553385,0.031880327,0.025562585,0.070453911,0.070919982,0.044786396,0.03138908,0.038308961,0.051466265,0.035828261,0.036295008,0.047088331,0.073973337,0.067748258,0.065377046,0.066338443,0.092764325,0.104194315,0.092726807,0.09802066,0.027447403,0.026109484,0.083081517,0.13124361
275.2749395,0.038888298,0.049643028,0.041832706,0.033133719,0.032825255,0.048839695,0.03038985,0.03564191,0.030053271,0.018805285,0.017430425,0.015109035,0.016404798,0.015291938,0.024631222,0.021982018,0.028603866,0.029352136,0.0251649,0.01998984,0.013180295,0.020862752,0.030555664,0.020165391,0.03158697,0.028040818,0.039586919,0.041705531,0.046974553,0.030466205,0.035685215,0.025485829,0.034578381,0.040786186,0.032241146,0.025537012,0.075618419,0.073030584,0.045763498,0.031486554,0.038168184,0.050446405,0.036475697,0.035305934,0.046009853,0.075638407,0.069588713,0.066518084,0.066570906,0.095118767,0.106131217,0.092559024,0.095347392,0.026225792,0.026088992,0.082010311,0.131970887
277.549939,0.037921938,0.051317496,0.041837149,0.03291274,0.032861229,0.048194798,0.030425601,0.035088848,0.029204089,0.019009983,0.017744679,0.014806342,0.016106907,0.01494738,0.024308907,0.022853852,0.028392427,0.030340694,0.024993763,0.020084976,0.013356301,0.020808352,0.031121542,0.020196416,0.032573063,0.027109417,0.041059727,0.041503801,0.048295133,0.030162572,0.035062168,0.025627441,0.034819378,0.039907664,0.03302645,0.025721058,0.080610369,0.074918951,0.047468905,0.031682689,0.038047414,0.049540869,0.037456177,0.034283015,0.045327421,0.075572858,0.071459205,0.066937618,0.067168028,0.096184797,0.099722428,0.09409277,0.092682836,0.024667782,0.025555843,0.081017004,0.13269179
279.8249385,0.037624469,0.0515664,0.041773273,0.032915571,0.032897136,0.046976859,0.030538728,0.035657065,0.02873059,0.019203893,0.018153108,0.014233055,0.016002868,0.014857511,0.023713608,0.023748956,0.028235053,0.031237755,0.024650023,0.020016385,0.013540102,0.020753976,0.031034637,0.020672115,0.033239217,0.026240116,0.043221969,0.042166151,0.048702073,0.030228822,0.034738625,0.02581528,0.035216113,0.038554631,0.033969335,0.025904577,0.088278885,0.074961819,0.048341834,0.031407647,0.038179247,0.048659817,0.0389427,0.033386549,0.046976101,0.075719447,0.070317155,0.068634516,0.068042049,0.094977313,0.099722428,0.096201555,0.089309331,0.023350122,0.025138385,0.080252334,0.136414765
282.099938,0.037765273,0.050615502,0.041648158,0.033106198,0.032859232,0.045801257,0.030498187,0.036228443,0.029012185,0.019432391,0.018586831,0.013689942,0.016298954,0.014768515,0.023108888,0.024181165,0.028225246,0.031740018,0.024403141,0.020124299,0.013790465,0.020798212,0.030439346,0.021345609,0.03352019,0.026391978,0.046622738,0.043745189,0.048266013,0.031131494,0.034594186,0.026159536,0.035525477,0.037625903,0.0349747,0.026090243,0.094257768,0.073855504,0.048372352,0.03116145,0.038311127,0.048747832,0.039221317,0.032283065,0.049034869,0.076121332,0.068502814,0.067601207,0.068920423,0.092559404,0.099722428,0.098219877,0.086334424,0.022492906,0.024272521,0.07978964,0.135767269
284.3749375,0.038296024,0.049360883,0.041683799,0.033210709,0.032757612,0.044039346,0.030167975,0.036912839,0.029546303,0.01962618,0.019324916,0.013366041,0.016876631,0.014438123,0.022536129,0.02583383,0.028023295,0.031698582,0.024308982,0.020314831,0.014277848,0.021102297,0.030715612,0.022826212,0.033914883,0.026890377,0.048875221,0.044531239,0.047566485,0.032117197,0.034711299,0.026463566,0.035841972,0.03694208,0.036319313,0.026227181,0.100458674,0.072688837,0.048865679,0.030803806,0.038029239,0.048809912,0.039316883,0.031024894,0.05178435,0.07639911,0.066389937,0.066085503,0.069812799,0.090144228,0.090633432,0.099240431,0.082899392,0.022831047,0.023420762,0.080103179,0.131519305
